MEAN|SD|NOFAILURE|RFLOSS|MISMATCHED|SWAPPED_DISCONNECTED
0|0|10|24|0|8
0|1|59|21|58|86
0|2|74|69|6|66
0|3|60|74|59|60
0|4|75|45|49|52
0|5|6|30|73|24
0|6|59|19|47|89
0|7|95|71|42|92
0|8|15|61|99|39
0|9|27|78|22|36
0|10|41|45|21|24
1|0|91|24|57|56
1|1|60|37|12|0
1|2|1|55|74|38
1|3|39|85|49|18
1|4|14|79|87|0
1|5|90|66|0|80
1|6|54|43|22|99
1|7|29|70|4|82
1|8|9|71|15|49
1|9|53|16|45|81
1|10|79|96|40|54
2|0|47|42|40|49
2|1|98|7|72|76
2|2|26|93|1|95
2|3|60|92|89|82
2|4|83|21|42|52
2|5|9|51|65|44
2|6|93|62|48|86
2|7|83|10|23|81
2|8|0|48|32|62
2|9|19|54|29|76
2|10|78|80|25|60
3|0|59|76|55|0
3|1|47|64|98|53
3|2|23|85|56|18
3|3|88|89|5|75
3|4|18|43|13|81
3|5|91|87|83|31
3|6|17|12|56|13
3|7|12|25|65|51
3|8|26|34|60|48
3|9|45|7|86|75
3|10|12|77|87|75
4|0|26|82|85|17
4|1|72|14|8|8
4|2|22|88|33|57
4|3|54|27|21|77
4|4|68|92|47|52
4|5|75|40|83|5
4|6|75|87|61|68
4|7|84|38|77|29
4|8|3|63|68|70
4|9|65|21|4|74
4|10|71|72|62|22
5|0|94|89|87|81
5|1|63|34|22|93
5|2|76|70|95|59
5|3|42|74|46|64
5|4|33|37|42|8
5|5|83|81|4|74
5|6|23|66|18|30
5|7|81|20|71|64
5|8|5|38|57|27
5|9|5|47|80|5
5|10|87|94|44|56
6|0|6|10|77|11
6|1|12|72|18|89
6|2|81|24|83|75
6|3|77|13|31|86
6|4|72|72|97|85
6|5|93|6|54|5
6|6|42|49|90|10
6|7|15|92|57|79
6|8|56|62|74|44
6|9|16|71|90|51
6|10|69|62|45|71
7|0|84|71|51|46
7|1|81|44|43|77
7|2|52|73|19|6
7|3|28|76|67|26
7|4|4|0|75|42
7|5|17|10|36|76
7|6|8|15|58|61
7|7|9|7|2|85
7|8|75|95|13|69
7|9|25|80|38|75
7|10|45|58|32|72
8|0|24|16|60|7
8|1|42|75|6|23
8|2|72|51|68|9
8|3|53|89|24|78
8|4|13|9|95|65
8|5|29|18|94|61
8|6|91|16|20|36
8|7|9|29|68|62
8|8|11|56|71|97
8|9|99|90|6|9
8|10|15|35|21|82
9|0|91|51|3|84
9|1|20|64|70|0
9|2|74|5|57|86
9|3|49|80|48|47
9|4|83|36|68|48
9|5|40|63|90|20
9|6|89|49|89|74
9|7|25|23|68|34
9|8|25|36|62|45
9|9|9|58|80|75
9|10|5|35|21|3
10|0|90|11|33|46
10|1|64|78|39|32
10|2|1|83|66|87
10|3|52|31|50|79
10|4|72|70|99|94
10|5|41|78|79|87
10|6|29|28|15|38
10|7|35|6|52|31
10|8|90|5|99|81
10|9|86|87|80|93
10|10|15|68|93|33
