KPI,Formula,Description,Counters,CountersDescription,Access Type,System Area,Node Type,Measure,Measure Type,GSM Access Type,LTE Access Type,NR Access Type,WCDMA Access Type,Complexity,Custom Where Clause Condition,Custom Keys,SQL Operator,Mapping Columns,Category
IMS Diameter Malformed Received Requests Ratio - vMTAS,100*((DC_E_MTAS_DIAMETER_ERROR_RAW.DiameterErrorCountersMalformedReceivedRequest)/(DC_E_MTAS_DIAMETER_RAW.DiameterTrafficCountersReceivedRequestFromPeer)),,"DC_E_MTAS_DIAMETER_ERROR_RAW.DiameterErrorCountersMalformedReceivedRequest,DC_E_MTAS_DIAMETER_RAW.DiameterTrafficCountersReceivedRequestFromPeer",,,Core,MTAS,IMS Diameter Malformed Received Requests Ratio,KPI,,,,,Simple,,"MOID ,OSS_ID,g3ManagedElement,ROWSTATUS,SN,DC_TIMEZONE",,DC_E_MTAS_DIAMETER_RAW.SN=DC_E_MTAS_DIAMETER_ERROR_RAW.SN,
IMS Diameter Received Requests Overload Discarded Ratio - MTAS,100*(DC_E_MTAS_DIAMETER_RAW.DiameterTrafficCountersIncomingMessageDiscardedDueToOverload/DC_E_MTAS_DIAMETER_RAW.DiameterTrafficCountersReceivedRequestFromPeer),,"DC_E_MTAS_DIAMETER_RAW.DiameterTrafficCountersIncomingMessageDiscardedDueToOverload,DC_E_MTAS_DIAMETER_RAW.DiameterTrafficCountersReceivedRequestFromPeer",,,Core,MTAS,IMS Diameter Received Requests Overload Discarded Ratio,KPI,,,,,Simple,,"MOID ,OSS_ID,g3ManagedElement,ROWSTATUS,SN,DC_TIMEZONE",,,
IMS Diameter Sent Requests Overload Discarded Ratio - vMTAS,100*(DC_E_MTAS_DIAMETER_RAW.DiameterTrafficCountersOutgoingMessageDiscardedDueToCongestion/DC_E_MTAS_DIAMETER_RAW.DiameterTrafficCountersSentRequestToPeer),,"DC_E_MTAS_DIAMETER_RAW.DiameterTrafficCountersOutgoingMessageDiscardedDueToCongestion,DC_E_MTAS_DIAMETER_RAW.DiameterTrafficCountersSentRequestToPeer",,,Core,MTAS,IMS Diameter Sent Requests Overload Discarded Ratio,KPI,,,,,Simple,,"MOID ,OSS_ID,g3ManagedElement,ROWSTATUS,SN,DC_TIMEZONE",,,
IMS Diameter Unsuccessful Received Requests Ratio - MTAS,100*((DC_E_MTAS_DIAMETER_RAW.DiameterTrafficCountersSentUnsuccessfulAnswerToPeer)/(DC_E_MTAS_DIAMETER_RAW.DiameterTrafficCountersReceivedRequestFromPeer)),,"DC_E_MTAS_DIAMETER_RAW.DiameterTrafficCountersSentUnsuccessfulAnswerToPeer,DC_E_MTAS_DIAMETER_RAW.DiameterTrafficCountersReceivedRequestFromPeer",,,Core,MTAS,IMS Diameter Unsuccessful Received Requests Ratio,KPI,,,,,Simple,,"MOID ,OSS_ID,g3ManagedElement,ROWSTATUS,SN,DC_TIMEZONE",,,
IMS Diameter Unsuccessful Sent Requests Ratio - MTAS,100*((DC_E_MTAS_DIAMETER_RAW.DiameterTrafficCountersReceivedUnsuccessfulAnswerFromPeer)/(DC_E_MTAS_DIAMETER_RAW.DiameterTrafficCountersSentRequestToPeer)),,"DC_E_MTAS_DIAMETER_RAW.DiameterTrafficCountersReceivedUnsuccessfulAnswerFromPeer,DC_E_MTAS_DIAMETER_RAW.DiameterTrafficCountersSentRequestToPeer",,,Core,MTAS,IMS Diameter Unsuccessful Sent Requests Ratio,KPI,,,,,Simple,,"MOID ,OSS_ID,g3ManagedElement,ROWSTATUS,SN,DC_TIMEZONE",,,
IMS MMTEL AS Playing of Announcement Success Ratio - DTM,100*(DC_E_MTAS_MTASDTM_RAW.MtasDtmNotifyOk/(DC_E_MTAS_MTASDTM_RAW.MtasDtmNotifyOk+DC_E_MTAS_MTASDTM_RAW.MtasDtmNotifyNOkI+DC_E_MTAS_MTASDTM_RAW.MtasDtmNotifyNOkE)),,"DC_E_MTAS_MTASDTM_RAW.MtasDtmNotifyOk,DC_E_MTAS_MTASDTM_RAW.MtasDtmNotifyNOkI,DC_E_MTAS_MTASDTM_RAW.MtasDtmNotifyNOkE",,,Core,MTAS,IMS MMTEL AS Playing of Announcement Success Ratio ,KPI,,,,,Simple,,"MOID ,OSS_ID,g3ManagedElement,ROWSTATUS,SN,DC_TIMEZONE",,,
IMS MMTEL AS Playing of Announcement Success Ratio ,100*(DC_E_MTAS_MTASMRFC_RAW.MtasMrfcInitiatedAnnOk/(DC_E_MTAS_MTASMRFC_RAW.MtasMrfcInitiatedAnnNOkI+DC_E_MTAS_MTASMRFC_RAW.MtasMrfcInitiatedAnnOk+DC_E_MTAS_MTASMRFC_RAW.MtasMrfcInitiatedAnnNOkE)),,"DC_E_MTAS_MTASMRFC_RAW.MtasMrfcInitiatedAnnOk,DC_E_MTAS_MTASMRFC_RAW.MtasMrfcInitiatedAnnNOkI, DC_E_MTAS_MTASMRFC_RAW.MtasMrfcInitiatedAnnNOkE",,,Core,MTAS,IMS MMTEL AS Playing of Announcement Success Ratio ,KPI,,,,,Simple,,"MOID ,OSS_ID,g3ManagedElement,ROWSTATUS,SN,DC_TIMEZONE",,,
IMS NIC Receive Error Ratio - MTAS,100*((DC_E_MTAS_OSMDEVICE_RAW.VS_LEM_Rx_Errors+DC_E_MTAS_OSMDEVICE_RAW.VS_LEM_Rx_Dropped)/DC_E_MTAS_OSMDEVICE_RAW.VS_LEM_Rx_Packets),,"DC_E_MTAS_OSMDEVICE_RAW.VS_LEM_Rx_Errors,DC_E_MTAS_OSMDEVICE_RAW.VS_LEM_Rx_Dropped,DC_E_MTAS_OSMDEVICE_RAW.VS_LEM_Rx_Packets",,,Core,MTAS,IMS NIC Receive Error Ratio,KPI,,,,,Simple,,"MOID ,OSS_ID,g3ManagedElement,ROWSTATUS,SN,DC_TIMEZONE",,,
IMS NIC Send Collision Ratio - MTAS,100*(DC_E_MTAS_OSMDEVICE_RAW.VS_LEM_Link_Collision/DC_E_MTAS_OSMDEVICE_RAW.VS_LEM_Tx_Packets),,"DC_E_MTAS_OSMDEVICE_RAW.VS_LEM_Link_Collision,DC_E_MTAS_OSMDEVICE_RAW.VS_LEM_Tx_Packets",,,Core,MTAS,IMS NIC Send Collision Ratio,KPI,,,,,Simple,,"MOID ,OSS_ID,g3ManagedElement,ROWSTATUS,SN,DC_TIMEZONE",,,
IMS NIC Send Error Ratio - MTAS,100*((DC_E_MTAS_OSMDEVICE_RAW.VS_LEM_Tx_Errors+DC_E_MTAS_OSMDEVICE_RAW.VS_LEM_Tx_Dropped)/DC_E_MTAS_OSMDEVICE_RAW.VS_LEM_Tx_Packets),,"DC_E_MTAS_OSMDEVICE_RAW.VS_LEM_Tx_Errors,DC_E_MTAS_OSMDEVICE_RAW.VS_LEM_Tx_Dropped,DC_E_MTAS_OSMDEVICE_RAW.VS_LEM_Tx_Packets",,,Core,MTAS,IMS NIC Send Error Ratio,KPI,,,,,Simple,,"MOID ,OSS_ID,g3ManagedElement,ROWSTATUS,SN,DC_TIMEZONE",,,
